GeneSymbol,Ensemble,Gene description,0H_sorted.bam,1H_sorted.bam,2H_sorted.bam,4H_sorted.bam,8H_sorted.bam,12H_sorted.bam,24H_sorted.bam
USP27X,ENSG00000273820,ubiquitin specific peptidase 27 X-linked [Source:HGNC Symbol;Acc:HGNC:13486],182.9641,120.606155,185.15178,110.42329,143.26848,119.13726,57.901695
TMEM185A,ENSG00000269556,transmembrane protein 185A [Source:HGNC Symbol;Acc:HGNC:17125],19.430382,14.015093,15.236741,10.88072,15.2086315,14.000094,10.421476
IKBKG,ENSG00000269335,inhibitor of nuclear factor kappa B kinase regulatory subunit gamma [Source:HGNC Symbol;Acc:HGNC:5961],5.1995974,6.2666073,6.108242,4.522481,5.140806,5.665681,5.769625
MAGIX,ENSG00000269313,"MAGI family member, X-linked [Source:HGNC Symbol;Acc:HGNC:30006]",12.162162,8.731099,15.060759,10.51776,10.457077,7.678937,9.651436
FAM156A,ENSG00000268350,family with sequence similarity 156 member A [Source:HGNC Symbol;Acc:HGNC:30114],0.30403498,0.30909404,0.1454469,0.28975686,0.22845961,0.31079462,0.2701107
GABRQ,ENSG00000268089,gamma-aminobutyric acid type A receptor subunit theta [Source:HGNC Symbol;Acc:HGNC:14454],6.8709283,6.6339536,8.500482,10.695483,17.236444,13.560772,6.6468706
ZNF674,ENSG00000251192,zinc finger protein 674 [Source:HGNC Symbol;Acc:HGNC:17625],8.610756,8.710318,7.1824455,6.848631,7.3495226,8.439378,6.644861
USP51,ENSG00000247746,ubiquitin specific peptidase 51 [Source:HGNC Symbol;Acc:HGNC:23086],56.899933,46.05342,70.63195,51.873077,61.65794,68.272095,56.179916
RTL9,ENSG00000243978,retrotransposon Gag like 9 [Source:HGNC Symbol;Acc:HGNC:29245],0.9228971,1.0485399,0.9271574,0.6612957,0.547678,0.841675,0.43045804
PRAF2,ENSG00000243279,PRA1 domain family member 2 [Source:HGNC Symbol;Acc:HGNC:28911],173.11752,160.91745,184.6981,135.75705,182.37514,169.73038,164.52725
RTL5,ENSG00000242732,retrotransposon Gag like 5 [Source:HGNC Symbol;Acc:HGNC:29430],246.86978,202.36098,177.93573,189.7988,180.607,189.73,146.7297
CSAG4,ENSG00000242599,CSAG family member 4 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:20923],2.3746333,1.2556553,1.2278799,1.2424948,1.3564365,0.7055502,0.48863712
RPL36A,ENSG00000241343,ribosomal protein L36a [Source:HGNC Symbol;Acc:HGNC:10359],64.52823,71.87511,71.61024,66.950424,80.148575,81.95731,80.49274
PAGE2B,ENSG00000238269,PAGE family member 2B [Source:HGNC Symbol;Acc:HGNC:31805],2.5994282,2.6287732,0.65285695,1.1560984,0.31552926,1.641225,4.243492
MED14OS,ENSG00000234636,MED14 opposite strand [Source:HGNC Symbol;Acc:HGNC:40162],0.30284676,1.3611804,5.3242836,3.0305567,1.1028235,3.4418008,5.297022
NKAPP1,ENSG00000233382,NFKB activating protein pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:26706],0.57917386,0.56040365,0.25253797,0.42931363,0.38080522,0.6196217,0.27201447
ACTG1P10,ENSG00000231340,actin gamma 1 pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:155],3.6968577,0,0,6.1656795,0,7.0023575,4.3107247
CBX1P1,ENSG00000230823,chromobox 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:38655],35.128807,49.998676,14.704571,36.455,28.42719,32.53008,24.577188
FTX,ENSG00000230590,"FTX transcript, XIST regulator [Source:HGNC Symbol;Acc:HGNC:37190]",9.777991,11.098451,4.2956634,9.014287,6.135545,8.63556,7.02325
XIST,ENSG00000229807,X inactive specific transcript [Source:HGNC Symbol;Acc:HGNC:12810],1266.33,1607.7932,1026.3308,1592.4674,1430.2456,1792.0281,1963.8142
JPX,ENSG00000225470,"JPX transcript, XIST activator [Source:HGNC Symbol;Acc:HGNC:37191]",1.624084,1.9851452,0.83568794,2.0876608,1.6925018,2.2809186,2.9930723
INE1,ENSG00000224975,inactivation escape 1 [Source:HGNC Symbol;Acc:HGNC:6060],32.804234,45.18399,14.617433,70.5954,35.96566,53.450096,90.0759
SLC25A5-AS1,ENSG00000224281,SLC25A5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43438],3.588907,1.8330415,11.062251,2.1765954,4.356363,7.0038805,4.184849
ZNF630,ENSG00000221994,zinc finger protein 630 [Source:HGNC Symbol;Acc:HGNC:28855],3.431367,3.3721213,2.7589033,3.588611,3.2303846,3.5893726,4.489738
DDX3X,ENSG00000215301,DEAD-box helicase 3 X-linked [Source:HGNC Symbol;Acc:HGNC:2745],145.82065,178.29895,163.30772,163.81024,185.17606,192.35518,187.30693
TTC3P1,ENSG00000215105,tetratricopeptide repeat domain 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23318],260.64792,214.71576,287.87103,187.41563,222.16824,187.51372,153.21078
MTCP1,ENSG00000214827,mature T cell proliferation 1 [Source:HGNC Symbol;Acc:HGNC:7423],1.3438991,1.392917,1.9349536,1.5973032,1.8281586,2.0920162,2.1479461
HAUS7,ENSG00000213397,HAUS augmin like complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:32979],11.222336,12.23431,12.360616,13.128478,11.998638,14.514162,11.794292
TMSB4X,ENSG00000205542,thymosin beta 4 X-linked [Source:HGNC Symbol;Acc:HGNC:11881],322.47403,372.95993,410.88235,365.3762,422.38,446.55624,453.6478
SPIN3,ENSG00000204271,spindlin family member 3 [Source:HGNC Symbol;Acc:HGNC:27272],3.8303385,3.114054,3.409459,2.7306857,2.7623038,2.5748808,2.0230029
